0.2857143 0 0 0.3452381 0.8571429 0.3142857 0.6190476 0 0.6964286 0.2857143 0 0 0.3928571 0.5873016
0.4285714 0 0 0.08333333 1 0.4 0.6666667 0 1 0.2 0 0 0.25 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.3333333 0.04861111 0.08333333 0.05 0 0 0 0.15 0.1875 0.01086957 0.02083333 0
0 0 0 0.08333333 0 0 0 0 0 0 0 0 0 0
0 0 0 0.03333333 0 0 0 0 0 0 0 0 0 0
0 0 1 0 0.6666667 0.8222222 0.01234568 0 0.1944444 0.9111111 0.9930556 0.9275362 0.1388889 0.01234568
0.4285714 0 0 0.08333333 1 0.4 0.6666667 0 1 0.2 0 0 0.25 0
0 0 1 0 0 0.75 0 0 0 0.725 0.9921875 0.05978261 0 0
0 0 0 0.03333333 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0.0625 0 0 0 0 0 0 0 0 0 0
0 0 1 0 0.4444444 0.8 0 0 0 0.7555556 1 0.3574879 0 0.01234568
