0.2857143 0.4285714 0 0 0 0 0 0.4285714 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0.3333333 0 0 1 0 1 0 0 0 0 1
0.3452381 0.08333333 0 0.04861111 0.08333333 0.03333333 0 0.08333333 0 0.03333333 0 0 0.0625 0
0.8571429 1 0 0.08333333 0 0 0.6666667 1 0 0 0 0 0 0.4444444
0.3142857 0.4 0 0.05 0 0 0.8222222 0.4 0.75 0 0 0 0 0.8
0.6190476 0.6666667 0 0 0 0 0.01234568 0.6666667 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.6964286 1 0 0 0 0 0.1944444 1 0 0 0 0 0 0
0.2857143 0.2 0 0.15 0 0 0.9111111 0.2 0.725 0 0 0 0 0.7555556
0 0 0 0.1875 0 0 0.9930556 0 0.9921875 0 0 0 0 1
0 0 0 0.01086957 0 0 0.9275362 0 0.05978261 0 0 0 0 0.3574879
0.3928571 0.25 0 0.02083333 0 0 0.1388889 0.25 0 0 0 0 0 0
0.5873016 0 0 0 0 0 0.01234568 0 0 0 0 0 0 0.01234568
